RSI_Bengal
      hardpoint_thruster_main_small_lower_top_rightS1   MainThruster                                      RSI_Bengal_Thruster_Main_Small                                   Main thrusters                          
      hardpoint_thruster_main_small_lower_bottom_rightS1   MainThruster                                      RSI_Bengal_Thruster_Main_Small                                   Main thrusters                          
   hardpoint_cooler_03                            S5   Cooler                                            COOL_RSI_S04_Bengal_SCItem                                       Coolers                                 
   hardpoint_cooler_04                            S5   Cooler                                            COOL_RSI_S04_Bengal_SCItem                                       Coolers                                 
   hardpoint_cooler_05                            S5   Cooler                                            COOL_RSI_S04_Bengal_SCItem                                       Coolers                                 
   hardpoint_cooler_06                            S5   Cooler                                            COOL_RSI_S04_Bengal_SCItem                                       Coolers                                 
   hardpoint_cooler_07                            S5   Cooler                                            COOL_RSI_S04_Bengal_SCItem                                       Coolers                                 
   hardpoint_cooler_08                            S5   Cooler                                            COOL_RSI_S04_Bengal_SCItem                                       Coolers                                 
   hardpoint_cooler_09                            S5   Cooler                                            COOL_RSI_S04_Bengal_SCItem                                       Coolers                                 
   hardpoint_cooler_10                            S5   Cooler                                            COOL_RSI_S04_Bengal_SCItem                                       Coolers                                 
   hardpoint_fuel_intake_left                     S5   FuelIntake                                        INTK_Default                                                     Fuel intakes                            
   hardpoint_fuel_intake_right                    S5   FuelIntake                                        INTK_Default                                                     Fuel intakes                            
   hardpoint_fuel_tank_left                       S5   FuelTank                                          HTNK_RSI_Bengal                                                  Fuel tanks                              
   hardpoint_fuel_tank_middle                     S5   FuelTank                                          HTNK_RSI_Bengal                                                  Fuel tanks                              
   hardpoint_fuel_tank_right                      S5   FuelTank                                          HTNK_RSI_Bengal                                                  Fuel tanks                              
   hardpoint_main_turret                          S12  Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_Main_Gun                         Remote turrets                          
    turret_left                                   S7   WeaponGun.Gun                                                                                                      Weapon hardpoints                       
    hardpoint_weapon_right_outer                  S12  WeaponGun.Gun                                     BEHR_MassDriver_S12                                              Weapon hardpoints                       
    hardpoint_weapon_right_inner                  S12                                                    BEHR_MassDriver_S12                                              Weapon hardpoints                       
    hardpoint_weapon_left_inner                   S12                                                    BEHR_MassDriver_S12                                              Weapon hardpoints                       
    hardpoint_weapon_left_outer                   S12                                                    BEHR_MassDriver_S12                                              Weapon hardpoints                       
    hardpoint_aimodule                            S10  AIModule                                                                                                           UNKNOWN                                 
   hardpoint_missile_turret_01                    S6   Turret.MissileTurret                              RSI_Bengal_SCItem_Remote_Turret_MissileLauncher                  Remote turrets                          
    turret_centre                                 S6   WeaponGun.Rocket                                  MRCK_S06_BEHR_Beehive_S02                                        Weapon hardpoints                       
     missile_01_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_02_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_03_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_04_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_05_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_06_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_07_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_08_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_09_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_10_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_11_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_12_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_13_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_14_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_15_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_16_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_17_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_18_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
   hardpoint_missile_turret_02                    S6   Turret.MissileTurret                              RSI_Bengal_SCItem_Remote_Turret_MissileLauncher                  Remote turrets                          
    turret_centre                                 S6   WeaponGun.Rocket                                  MRCK_S06_BEHR_Beehive_S02                                        Weapon hardpoints                       
     missile_01_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_02_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_03_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_04_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_05_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_06_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_07_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_08_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_09_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_10_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_11_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_12_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_13_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_14_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_15_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_16_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_17_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_18_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
   hardpoint_missile_turret_03                    S6   Turret.MissileTurret                              RSI_Bengal_SCItem_Remote_Turret_MissileLauncher                  Remote turrets                          
    turret_centre                                 S6   WeaponGun.Rocket                                  MRCK_S06_BEHR_Beehive_S02                                        Weapon hardpoints                       
     missile_01_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_02_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_03_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_04_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_05_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_06_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_07_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_08_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_09_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_10_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_11_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_12_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_13_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_14_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_15_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_16_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_17_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_18_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
   hardpoint_missile_turret_04                    S6   Turret.MissileTurret                              RSI_Bengal_SCItem_Remote_Turret_MissileLauncher                  Remote turrets                          
    turret_centre                                 S6   WeaponGun.Rocket                                  MRCK_S06_BEHR_Beehive_S02                                        Weapon hardpoints                       
     missile_01_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_02_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_03_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_04_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_05_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_06_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_07_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_08_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_09_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_10_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_11_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_12_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_13_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_14_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_15_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_16_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_17_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_18_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
   hardpoint_missile_turret_06                    S6   Turret.MissileTurret                              RSI_Bengal_SCItem_Remote_Turret_MissileLauncher                  Remote turrets                          
    turret_centre                                 S6   WeaponGun.Rocket                                  MRCK_S06_BEHR_Beehive_S02                                        Weapon hardpoints                       
     missile_01_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_02_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_03_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_04_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_05_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_06_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_07_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_08_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_09_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_10_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_11_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_12_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_13_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_14_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_15_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_16_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_17_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_18_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
   hardpoint_missile_turret_07                    S6   Turret.MissileTurret                              RSI_Bengal_SCItem_Remote_Turret_MissileLauncher                  Remote turrets                          
    turret_centre                                 S6   WeaponGun.Rocket                                  MRCK_S06_BEHR_Beehive_S02                                        Weapon hardpoints                       
     missile_01_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_02_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_03_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_04_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_05_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_06_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_07_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_08_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_09_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_10_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_11_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_12_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_13_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_14_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_15_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_16_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_17_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_18_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
   hardpoint_missile_turret_08                    S6   Turret.MissileTurret                              RSI_Bengal_SCItem_Remote_Turret_MissileLauncher                  Remote turrets                          
    turret_centre                                 S6   WeaponGun.Rocket                                  MRCK_S06_BEHR_Beehive_S02                                        Weapon hardpoints                       
     missile_01_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_02_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_03_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_04_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_05_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_06_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_07_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_08_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_09_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_10_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_11_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_12_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_13_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_14_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_15_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_16_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_17_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
     missile_18_attach                            S2   Missile.Missile                                   MISL_S02_IR_FSKI_Ignite                                          Missiles                                
   hardpoint_missile_turret_controller_01         S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_missile_turret_controller_02         S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_missile_turret_controller_03         S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_missile_turret_controller_04         S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_missile_turret_controller_06         S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_missile_turret_controller_07         S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_missile_turret_controller_08         S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_missile_turret_radar_01              S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_missile_turret_radar_02              S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_missile_turret_radar_03              S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_missile_turret_radar_04              S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_missile_turret_radar_06              S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_missile_turret_radar_07              S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_missile_turret_radar_08              S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_phalanx_turret_11                    S6   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_Phalanx                          Remote turrets                          
    turret_centre                                 S6   WeaponGun.Gun                                     Bengal_BallisticGatling_S6                                       Weapon hardpoints                       
   hardpoint_phalanx_turret_12                    S6   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_Phalanx                          Remote turrets                          
    turret_centre                                 S6   WeaponGun.Gun                                     Bengal_BallisticGatling_S6                                       Weapon hardpoints                       
   hardpoint_phalanx_turret_controller_11         S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_phalanx_turret_controller_12         S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_phalanx_turret_radar_11              S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_phalanx_turret_radar_12              S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_powerplant_01                        S4   PowerPlant                                        POWR_RSI_S04_Bengal_SCItem                                       Power plants                            
   hardpoint_powerplant_02                        S4   PowerPlant                                        POWR_RSI_S04_Bengal_SCItem                                       Power plants                            
   hardpoint_powerplant_03                        S4   PowerPlant                                        POWR_RSI_S04_Bengal_SCItem                                       Power plants                            
   hardpoint_powerplant_04                        S4   PowerPlant                                        POWR_RSI_S04_Bengal_SCItem                                       Power plants                            
   hardpoint_powerplant_05                        S4   PowerPlant                                        POWR_RSI_S04_Bengal_SCItem                                       Power plants                            
   hardpoint_powerplant_06                        S4   PowerPlant                                        POWR_RSI_S04_Bengal_SCItem                                       Power plants                            
   hardpoint_powerplant_07                        S4   PowerPlant                                        POWR_RSI_S04_Bengal_SCItem                                       Power plants                            
   hardpoint_powerplant_08                        S4   PowerPlant                                        POWR_RSI_S04_Bengal_SCItem                                       Power plants                            
   hardpoint_powerplant_09                        S4   PowerPlant                                        POWR_RSI_S04_Bengal_SCItem                                       Power plants                            
   hardpoint_powerplant_10                        S4   PowerPlant                                        POWR_RSI_S04_Bengal_SCItem                                       Power plants                            
   hardpoint_quantum_drive                        S2   QuantumDrive.QDrive                               QDRV_TARS_S02_Odyssey_SCItem                                     Quantum drives                          
   hardpoint_quantum_fuel_tank                    S5   QuantumFuelTank.QuantumFuel                       QTNK_Default                                                     Quantum fuel tanks                      
   hardpoint_shield_generator                     S6   Shield                                            SHLD_GODI_S04_Bengal_SCItem                                      Shield generators                       
   hardpoint_thruster_mid_front_left_bottom       S5   ManneuverThruster                                 RSI_Bengal_Thruster_Mav_Joint                                    Maneuvering thrusters                   
   hardpoint_thruster_mid_front_right_bottom      S5   ManneuverThruster                                 RSI_Bengal_Thruster_Mav_Joint                                    Maneuvering thrusters                   
   hardpoint_thruster_mid_left_bottom             S5   ManneuverThruster                                 RSI_Bengal_Thruster_Mav_Joint                                    Maneuvering thrusters                   
   hardpoint_thruster_mid_left_top                S5   ManneuverThruster                                 RSI_Bengal_Thruster_Mav_Joint                                    Maneuvering thrusters                   
   hardpoint_thruster_mid_right_bottom            S5   ManneuverThruster                                 RSI_Bengal_Thruster_Mav_Joint                                    Maneuvering thrusters                   
   hardpoint_thruster_mid_right_top               S5   ManneuverThruster                                 RSI_Bengal_Thruster_Mav_Joint                                    Maneuvering thrusters                   
   hardpoint_thruster_retro_bottom_left           S5   ManneuverThruster                                 RSI_Bengal_Thruster_Retro_Main_Right                             Retro thrusters                         
   hardpoint_thruster_retro_bottom_right          S5   ManneuverThruster                                 RSI_Bengal_Thruster_Retro_Main_Left                              Retro thrusters                         
   hardpoint_main_turret_controller               S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
  hardpoint_AA_turret_01                          S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
   turret_left                                    S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
   turret_right                                   S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
  hardpoint_AA_turret_02                          S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
   turret_left                                    S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
   turret_right                                   S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
  hardpoint_AA_turret_03                          S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
   turret_left                                    S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
   turret_right                                   S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
  hardpoint_AA_turret_04                          S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
   turret_left                                    S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
   turret_right                                   S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
  hardpoint_AA_turret_05                          S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
   turret_left                                    S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
   turret_right                                   S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
  hardpoint_AA_turret_06                          S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
   turret_left                                    S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
   turret_right                                   S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
  hardpoint_AA_turret_07                          S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
   turret_left                                    S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
   turret_right                                   S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
  hardpoint_AA_turret_08                          S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
   turret_left                                    S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
   turret_right                                   S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
  hardpoint_AA_turret_21                          S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
   turret_left                                    S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
   turret_right                                   S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
  hardpoint_AA_turret_22                          S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
   turret_left                                    S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
   turret_right                                   S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
  hardpoint_AA_turret_controller_01               S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
  hardpoint_AA_turret_controller_02               S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
  hardpoint_AA_turret_controller_03               S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
  hardpoint_AA_turret_controller_04               S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
  hardpoint_AA_turret_controller_05               S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
  hardpoint_AA_turret_controller_06               S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
  hardpoint_AA_turret_radar_01                    S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
  hardpoint_AA_turret_radar_02                    S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
  hardpoint_AA_turret_radar_03                    S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
  hardpoint_AA_turret_radar_04                    S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
  hardpoint_AA_turret_radar_05                    S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
  hardpoint_AA_turret_radar_06                    S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
  hardpoint_AI_turret_03                          S9   Turret.GunTurret                                  RSI_Bengal_SCItem_STS_Turret                                     Manned turrets                          
   turret_left                                    S8   WeaponGun.Gun                                     Bengal_BallisticCannon_S8                                        Weapon hardpoints                       
   turret_right                                   S8   WeaponGun.Gun                                     Bengal_BallisticCannon_S8                                        Weapon hardpoints                       
